



2019-03-11 09:11:41.094840 Retorno metodo isPago:False, documento:364851  None
2019-03-11 09:11:41.398950 Retorno metodo isPago:False, documento:353511  None
2019-03-11 09:11:41.402288 Consulta Finalizada
2019-03-11 09:11:41.402314 Enviando email da consulta
2019-03-11 09:11:41.953513 Email enviado

2019-03-11 09:21:54.351961 Gerando consulta dos documentos do dia
2019-03-11 09:21:54.662961 Retorno metodo isPago:False, documento:368055  None
2019-03-11 09:21:54.968187 Retorno metodo isPago:False, documento:368221  None
2019-03-11 09:21:55.269009 Retorno metodo isPago:False, documento:368922  None
2019-03-11 09:21:55.577947 Retorno metodo isPago:False, documento:369307  None
2019-03-11 09:21:55.905462 Retorno metodo isPago:False, documento:366764  None
2019-03-11 09:21:56.214516 Retorno metodo isPago:False, documento:369262  None
2019-03-11 09:21:56.525370 Retorno metodo isPago:False, documento:368624  None
2019-03-11 09:21:56.829151 Retorno metodo isPago:False, documento:360516  None
2019-03-11 09:21:57.139439 Retorno metodo isPago:False, documento:368984  None
2019-03-11 09:21:57.451728 Retorno metodo isPago:False, documento:368480  None
2019-03-11 09:21:57.751998 Retorno metodo isPago:False, documento:368470  None
2019-03-11 09:21:58.079978 Retorno metodo isPago:False, documento:369507  None
2019-03-11 09:21:58.388628 Retorno metodo isPago:False, documento:369647  None
2019-03-11 09:21:58.694782 Retorno metodo isPago:False, documento:368462  None
2019-03-11 09:21:59.003363 Retorno metodo isPago:False, documento:366752  None
2019-03-11 09:21:59.302898 Retorno metodo isPago:False, documento:368529  None
2019-03-11 09:21:59.604911 Retorno metodo isPago:False, documento:369459  None
2019-03-11 09:21:59.909211 Retorno metodo isPago:False, documento:368915  None
2019-03-11 09:22:00.218662 Retorno metodo isPago:False, documento:368691  None
2019-03-11 09:22:00.521116 Retorno metodo isPago:False, documento:368693  None
2019-03-11 09:22:00.826929 Retorno metodo isPago:False, documento:369460  None
2019-03-11 09:22:01.136341 Retorno metodo isPago:False, documento:369371  None
2019-03-11 09:22:01.446940 Retorno metodo isPago:False, documento:369268  None
2019-03-11 09:22:01.751371 Retorno metodo isPago:False, documento:369097  None
2019-03-11 09:22:02.077552 Retorno metodo isPago:False, documento:369370  None
2019-03-11 09:22:02.386575 Retorno metodo isPago:False, documento:368791  None
2019-03-11 09:22:02.689774 Retorno metodo isPago:False, documento:369449  None
2019-03-11 09:22:03.000804 Retorno metodo isPago:False, documento:367469  None
2019-03-11 09:22:03.343373 Retorno metodo isPago:False, documento:369229  None
